Java HotSpot(TM) 64-Bit Server VM (25.121-b13) for windows-amd64 JRE (1.8.0_121-b13), built on Dec 12 2016 18:21:36 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 16713508k(3967660k free), swap 32966436k(9862712k free)
CommandLine flags: -XX:InitialHeapSize=536870912 -XX:InitialTenuringThreshold=1 -XX:MaxHeapSize=536870912 -XX:MaxNewSize=1048576 -XX:MaxTenuringThreshold=1 -XX:NewSize=1048576 -XX:PretenureSizeThreshold=50 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
0.102: [GC (Allocation Failure) 0.102: [DefNew: 896K->63K(960K), 0.0012452 secs] 1138K->715K(524224K), 0.0013707 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.143: [GC (Allocation Failure) 0.144: [DefNew: 959K->64K(960K), 0.0013666 secs] 1951K->1266K(524224K), 0.0014349 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.149: [GC (Allocation Failure) 0.149: [DefNew: 960K->64K(960K), 0.0014039 secs] 2188K->2152K(524224K), 0.0014634 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.154: [GC (Allocation Failure) 0.154: [DefNew: 960K->64K(960K), 0.0016734 secs] 3105K->3085K(524224K), 0.0017408 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.157: [GC (Allocation Failure) 0.157: [DefNew: 960K->63K(960K), 0.0014698 secs] 4076K->4058K(524224K), 0.0015312 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.163: [GC (Allocation Failure) 0.163: [DefNew: 959K->63K(960K), 0.0015075 secs] 5020K->5016K(524224K), 0.0015867 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.166: [GC (Allocation Failure) 0.166: [DefNew: 959K->63K(960K), 0.0012735 secs] 5940K->5926K(524224K), 0.0013322 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.170: [GC (Allocation Failure) 0.170: [DefNew: 959K->64K(960K), 0.0011530 secs] 6849K->6836K(524224K), 0.0012024 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.172: [GC (Allocation Failure) 0.172: [DefNew: 960K->63K(960K), 0.0011548 secs] 7733K->7728K(524224K), 0.0012094 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.177: [GC (Allocation Failure) 0.177: [DefNew: 959K->64K(960K), 0.0011950 secs] 8778K->8766K(524224K), 0.0012481 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.182: [GC (Allocation Failure) 0.182: [DefNew: 960K->64K(960K), 0.0010966 secs] 9713K->9696K(524224K), 0.0011445 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.184: [GC (Allocation Failure) 0.184: [DefNew: 960K->63K(960K), 0.0011801 secs] 10592K->10591K(524224K), 0.0012258 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.189: [GC (Allocation Failure) 0.189: [DefNew: 959K->63K(960K), 0.0011823 secs] 11487K->11484K(524224K), 0.0012277 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.192: [GC (Allocation Failure) 0.192: [DefNew: 959K->63K(960K), 0.0011586 secs] 12381K->12377K(524224K), 0.0012021 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.196: [GC (Allocation Failure) 0.196: [DefNew: 959K->64K(960K), 0.0014832 secs] 13273K->13268K(524224K), 0.0015407 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.199: [GC (Allocation Failure) 0.199: [DefNew: 960K->63K(960K), 0.0016086 secs] 14165K->14160K(524224K), 0.0016726 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.205: [GC (Allocation Failure) 0.205: [DefNew: 959K->63K(960K), 0.0021631 secs] 15056K->15052K(524224K), 0.0022454 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.212: [GC (Allocation Failure) 0.212: [DefNew: 959K->63K(960K), 0.0022534 secs] 16204K->16200K(524224K), 0.0023211 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
0.217: [GC (Allocation Failure) 0.217: [DefNew: 959K->63K(960K), 0.0014407 secs] 17096K->17090K(524224K), 0.0014917 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.219: [GC (Allocation Failure) 0.219: [DefNew: 959K->64K(960K), 0.0013161 secs] 17986K->17981K(524224K), 0.0013568 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.224: [GC (Allocation Failure) 0.224: [DefNew: 960K->63K(960K), 0.0016730 secs] 18878K->18873K(524224K), 0.0017321 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.228: [GC (Allocation Failure) 0.228: [DefNew: 959K->63K(960K), 0.0015967 secs] 19769K->19764K(524224K), 0.0016441 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
0.233: [GC (Allocation Failure) 0.233: [DefNew: 959K->64K(960K), 0.0020328 secs] 20661K->20656K(524224K), 0.0020921 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.236: [GC (Allocation Failure) 0.236: [DefNew: 960K->63K(960K), 0.0014483 secs] 21552K->21547K(524224K), 0.0014917 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.239: [GC (Allocation Failure) 0.239: [DefNew: 959K->63K(960K), 0.0015968 secs] 22444K->22439K(524224K), 0.0016470 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.243: [GC (Allocation Failure) 0.243: [DefNew: 959K->64K(960K), 0.0017689 secs] 23335K->23331K(524224K), 0.0018272 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
0.248: [GC (Allocation Failure) 0.248: [DefNew: 960K->63K(960K), 0.0017695 secs] 24227K->24223K(524224K), 0.0018480 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.251: [GC (Allocation Failure) 0.251: [DefNew: 959K->63K(960K), 0.0017254 secs] 25119K->25114K(524224K), 0.0017736 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.256: [GC (Allocation Failure) 0.256: [DefNew: 959K->63K(960K), 0.0020302 secs] 26011K->26006K(524224K), 0.0021060 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.262: [GC (Allocation Failure) 0.262: [DefNew: 959K->63K(960K), 0.0016399 secs] 26902K->26897K(524224K), 0.0017068 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.266: [GC (Allocation Failure) 0.266: [DefNew: 959K->63K(960K), 0.0016204 secs] 27794K->27789K(524224K), 0.0016631 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.271: [GC (Allocation Failure) 0.271: [DefNew: 959K->63K(960K), 0.0016420 secs] 28685K->28681K(524224K), 0.0016866 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
